"","team","rank_points","periods"
"1","Burundi",1.07626,1
"2","Turkmenistan",1.10047,1
"3","Ethiopia",1.09119,1
"4","Rwanda",1.09366,1
"5","Solomon Islands",1.0957,1
"6","Eswatini",1.07089,1
"7","Suriname",1.0773,1
"8","Lithuania",1.06975,1
"9","Afghanistan",1.02304,1
"10","Malaysia",1.06232,1
"11","Lesotho",1.0614,1
"12","Botswana",1.05646,1
"13","Kuwait",1.05341,1
"14","Liberia",1.04966,1
"15","Andorra",1.0352,1
"16","Indonesia",1.0339,1
"17","Dominican Republic",1.03186,1
"18","Maldives",1.02609,1
"19","Yemen",1.02352,1
"20","Tajikistan",1.1857,1
"21","Hong Kong",1.06239,1
"22","Latvia",1.11421,1
"23","Faroe Islands",1.14717,1
"24","Central African Republic",1.11697,1
"25","Estonia",1.18464,1
"26","Cyprus",1.18382,1
"27","Thailand",1.17492,1
"28","Kazakhstan",1.16663,1
"29","Mozambique",1.16522,1
"30","Namibia",1.16413,1
"31","Guinea-Bissau",1.16071,1
"32","Sierra Leone",1.16031,1
"33","Guatemala",1.1567,1
"34","Angola",1.1559,1
"35","Libya",1.15425,1
"36","Niger",1.1528,1
"37","Azerbaijan",1.14672,1
"38","Malawi",1.14497,1
"39","Zimbabwe",1.13856,1
"40","Gambia",1.13747,1
"41","Togo",1.12892,1
"42","Sudan",1.12734,1
"43","Comoros",1.12318,1
"44","Tanzania",1.11989,1
"45","Antigua and Barbuda",1.11701,1
"46","Philippines",1.11513,1
"47","Myanmar",1.00789,1
"48","Mongolia",0.91355,1
"49","Singapore",1.0035,1
"50","Cook Islands",0.89933,1
"51","Brunei Darussalam",0.89841,1
"52","Samoa",0.89426,1
"53","Bangladesh",0.88445,1
"54","Djibouti",0.87505,1
"55","Pakistan",0.86681,1
"56","Cayman Islands",0.86572,1
"57","Liechtenstein",0.86239,1
"58","Tonga",0.86181,1
"59","Timor-Leste",0.86006,1
"60","American Samoa",0.90027,1
"61","Seychelles",0.85956,1
"62","Aruba",0.85537,1
"63","Bahamas",0.8548,1
"64","Somalia",0.85472,1
"65","Gibraltar",0.85216,1
"66","Guam",0.83833,1
"67","Sri Lanka",0.82525,1
"68","British Virgin Islands",0.80932,1
"69","Kosovo",1.18701,1
"70","Eritrea",0.85556,1
"71","Laos",0.90551,1
"72","São Tomé and Príncipe",0.90818,1
"73","Bhutan",0.91096,1
"74","New Caledonia",0.99558,1
"75","Tahiti",0.99511,1
"76","Fiji",0.98943,1
