"","date","home_team","away_team","home_score","away_score","tournament"
"1",1,"Belize","Barbados",1,0,"Friendly"
"2",1,"Palestine","Iraq",0,3,"Friendly"
"3",1,"Andorra","United Arab Emirates",0,0,"Friendly"
"4",1,"Barbados","Jamaica",2,2,"Friendly"
"5",1,"Bangladesh","Sri Lanka",0,1,"Friendly"
"6",1,"Macau","Solomon Islands",1,4,"Friendly"
"7",1,"Ethiopia","Burundi",1,1,"Friendly"
"8",1,"Mongolia","Macau",4,1,"EAFF Championship"
"9",1,"Macau","Guam",2,0,"EAFF Championship"
"10",1,"Nepal","Pakistan",1,2,"SAFF Cup"
"11",1,"Bangladesh","Bhutan",2,0,"SAFF Cup"
"12",1,"Fiji","Solomon Islands",1,1,"Friendly"
"13",1,"Slovakia","Denmark",3,0,"Friendly"
"14",1,"India","Sri Lanka",2,0,"SAFF Cup"
"15",1,"Germany","France",0,0,"UEFA Nations League"
"16",1,"Czech Republic","Ukraine",1,2,"UEFA Nations League"
"17",1,"Wales","Republic of Ireland",4,1,"UEFA Nations League"
"18",1,"Norway","Cyprus",2,0,"UEFA Nations League"
"19",1,"Slovenia","Bulgaria",1,2,"UEFA Nations League"
"20",1,"Kazakhstan","Georgia",0,2,"UEFA Nations League"
"21",1,"Latvia","Andorra",0,0,"UEFA Nations League"
"22",1,"Armenia","Liechtenstein",2,1,"UEFA Nations League"
"23",1,"Gibraltar","North Macedonia",0,2,"UEFA Nations League"
"24",1,"Austria","Sweden",2,0,"Friendly"
"25",1,"Bahrain","Philippines",1,1,"Friendly"
"26",1,"Jordan","Lebanon",0,1,"Friendly"
"27",1,"Netherlands","Peru",2,1,"Friendly"
"28",1,"Portugal","Croatia",1,1,"Friendly"
"29",1,"Trinidad and Tobago","United Arab Emirates",2,0,"Friendly"
"30",1,"Uzbekistan","Syria",1,1,"Friendly"
"31",1,"Mongolia","Guam",1,1,"EAFF Championship"
"32",1,"Nepal","Bhutan",4,0,"SAFF Cup"
"33",1,"Bangladesh","Pakistan",1,0,"SAFF Cup"
"34",1,"Dominica","Suriname",0,0,"CONCACAF Nations League qualification"
"35",1,"Guyana","Barbados",3,0,"CONCACAF Nations League qualification"
"36",1,"Italy","Poland",1,1,"UEFA Nations League"
"37",1,"Albania","Israel",1,0,"UEFA Nations League"
"38",1,"Lithuania","Serbia",0,1,"UEFA Nations League"
"39",1,"Romania","Montenegro",0,0,"UEFA Nations League"
"40",1,"Faroe Islands","Malta",3,1,"UEFA Nations League"
"41",1,"Azerbaijan","Kosovo",0,0,"UEFA Nations League"
"42",1,"Argentina","Guatemala",3,0,"Friendly"
"43",1,"Ecuador","Jamaica",2,0,"Friendly"
"44",1,"South Korea","Costa Rica",2,0,"Friendly"
"45",1,"Mexico","Uruguay",1,4,"Friendly"
"46",1,"Qatar","China PR",1,0,"Friendly"
"47",1,"Scotland","Belgium",0,4,"Friendly"
"48",1,"Singapore","Mauritius",1,1,"Friendly"
"49",1,"United States","Brazil",0,2,"Friendly"
"50",1,"Venezuela","Colombia",1,2,"Friendly"
"51",1,"Maldives","Sri Lanka",0,0,"SAFF Cup"
"52",1,"Belize","Bahamas",4,0,"CONCACAF Nations League qualification"
"53",1,"Switzerland","Iceland",6,0,"UEFA Nations League"
"54",1,"England","Spain",1,2,"UEFA Nations League"
"55",1,"Northern Ireland","Bosnia and Herzegovina",1,2,"UEFA Nations League"
"56",1,"Finland","Hungary",1,0,"UEFA Nations League"
"57",1,"Estonia","Greece",0,1,"UEFA Nations League"
"58",1,"Belarus","San Marino",5,0,"UEFA Nations League"
"59",1,"Luxembourg","Moldova",4,0,"UEFA Nations League"
"60",1,"Equatorial Guinea","Sudan",1,0,"African Cup of Nations qualification"
"61",1,"Comoros","Cameroon",1,1,"African Cup of Nations qualification"
"62",1,"Gabon","Burundi",1,1,"African Cup of Nations qualification"
"63",1,"Gambia","Algeria",1,1,"African Cup of Nations qualification"
"64",1,"South Africa","Libya",0,0,"African Cup of Nations qualification"
"65",1,"Mauritania","Burkina Faso",2,0,"African Cup of Nations qualification"
"66",1,"Egypt","Niger",6,0,"African Cup of Nations qualification"
"67",1,"Namibia","Zambia",1,1,"African Cup of Nations qualification"
"68",1,"Uganda","Tanzania",0,0,"African Cup of Nations qualification"
"69",1,"Pakistan","Bhutan",3,0,"SAFF Cup"
"70",1,"Bangladesh","Nepal",0,2,"SAFF Cup"
"71",1,"Montserrat","El Salvador",1,2,"CONCACAF Nations League qualification"
"72",1,"France","Netherlands",2,1,"UEFA Nations League"
"73",1,"Ukraine","Slovakia",1,0,"UEFA Nations League"
"74",1,"Denmark","Wales",2,0,"UEFA Nations League"
"75",1,"Bulgaria","Norway",1,0,"UEFA Nations League"
"76",1,"Cyprus","Slovenia",2,1,"UEFA Nations League"
"77",1,"Georgia","Latvia",1,0,"UEFA Nations League"
"78",1,"North Macedonia","Armenia",2,0,"UEFA Nations League"
"79",1,"Liechtenstein","Gibraltar",2,0,"UEFA Nations League"
"80",1,"Germany","Peru",2,1,"Friendly"
"81",1,"Lebanon","Oman",0,0,"Friendly"
"82",1,"Congo","Zimbabwe",1,1,"African Cup of Nations qualification"
"83",1,"India","Maldives",2,0,"SAFF Cup"
"84",1,"Aruba","Bermuda",3,1,"CONCACAF Nations League qualification"
"85",1,"Jamaica","Cayman Islands",4,0,"CONCACAF Nations League qualification"
"86",1,"Portugal","Italy",1,0,"UEFA Nations League"
"87",1,"Scotland","Albania",2,0,"UEFA Nations League"
"88",1,"Montenegro","Lithuania",2,0,"UEFA Nations League"
"89",1,"Serbia","Romania",2,2,"UEFA Nations League"
"90",1,"Andorra","Kazakhstan",1,1,"UEFA Nations League"
"91",1,"Kosovo","Faroe Islands",2,0,"UEFA Nations League"
"92",1,"Malta","Azerbaijan",1,1,"UEFA Nations League"
"93",1,"Bahrain","China PR",0,0,"Friendly"
"94",1,"Cambodia","Malaysia",1,3,"Friendly"
"95",1,"Kuwait","Iraq",2,2,"Friendly"
"96",1,"Russia","Czech Republic",5,1,"Friendly"
"97",1,"Saudi Arabia","Bolivia",2,2,"Friendly"
"98",1,"Iceland","Belgium",0,3,"UEFA Nations League"
"99",1,"Spain","Croatia",6,0,"UEFA Nations League"
"100",1,"Bosnia and Herzegovina","Austria",1,0,"UEFA Nations League"
"101",1,"Hungary","Greece",2,1,"UEFA Nations League"
"102",1,"Finland","Estonia",1,0,"UEFA Nations League"
"103",1,"San Marino","Luxembourg",0,3,"UEFA Nations League"
"104",1,"Moldova","Belarus",0,0,"UEFA Nations League"
"105",1,"Colombia","Argentina",0,0,"Friendly"
"106",1,"Ecuador","Guatemala",2,0,"Friendly"
"107",1,"England","Switzerland",1,0,"Friendly"
"108",1,"Gabon","Zambia",0,1,"Friendly"
"109",1,"Indonesia","Mauritius",1,0,"Friendly"
"110",1,"Japan","Costa Rica",3,0,"Kirin Challenge Cup"
"111",1,"Jordan","Oman",0,0,"Friendly"
"112",1,"Kenya","Malawi",1,0,"Friendly"
"113",1,"South Korea","Chile",0,0,"Friendly"
"114",1,"Laos","United Arab Emirates",0,3,"Friendly"
"115",1,"Liberia","Nigeria",1,2,"Friendly"
"116",1,"Northern Ireland","Israel",3,0,"Friendly"
"117",1,"Panama","Venezuela",0,2,"Friendly"
"118",1,"Poland","Republic of Ireland",1,1,"Friendly"
"119",1,"Qatar","Palestine",3,0,"Friendly"
"120",1,"Singapore","Fiji",2,0,"Friendly"
"121",1,"United States","Mexico",1,0,"Friendly"
"122",1,"Uzbekistan","Iran",0,1,"Friendly"
"123",1,"Brazil","El Salvador",5,0,"Friendly"
"124",1,"India","Pakistan",3,1,"SAFF Cup"
"125",1,"Nepal","Maldives",0,3,"SAFF Cup"
"126",1,"Maldives","India",2,1,"SAFF Cup"
"127",1,"Botswana","Namibia",1,0,"Friendly"
"128",1,"Albania","Jordan",0,0,"Friendly"
"129",1,"Indonesia","Myanmar",3,0,"Friendly"
"130",1,"Italy","Ukraine",1,1,"Friendly"
"131",1,"Ethiopia","Kenya",0,0,"African Cup of Nations qualification"
"132",1,"Zambia","Guinea-Bissau",2,1,"African Cup of Nations qualification"
"133",1,"Poland","Portugal",2,3,"UEFA Nations League"
"134",1,"Russia","Sweden",0,0,"UEFA Nations League"
"135",1,"Israel","Scotland",2,1,"UEFA Nations League"
"136",1,"Montenegro","Serbia",0,2,"UEFA Nations League"
"137",1,"Lithuania","Romania",1,2,"UEFA Nations League"
"138",1,"Faroe Islands","Azerbaijan",0,3,"UEFA Nations League"
"139",1,"Kosovo","Malta",3,1,"UEFA Nations League"
"140",1,"Argentina","Iraq",4,0,"Friendly"
"141",1,"Bahrain","Syria",0,1,"Friendly"
"142",1,"France","Iceland",2,2,"Friendly"
"143",1,"Honduras","United Arab Emirates",1,1,"Friendly"
"144",1,"Hong Kong","Thailand",0,1,"Friendly"
"145",1,"Kuwait","Lebanon",1,0,"Friendly"
"146",1,"Mexico","Costa Rica",3,2,"Friendly"
"147",1,"United States","Colombia",2,4,"Friendly"
"148",1,"Wales","Spain",1,4,"Friendly"
"149",1,"Congo","Liberia",3,1,"African Cup of Nations qualification"
